Line by line,Fiscal Year   ,Employer (Petitioner) Name,Tax ID,Industry (NAICS) Code,Petitioner City,Petitioner State,Petitioner Zip Code,Initial Approval,Initial Denial,Continuing Approval,Continuing Denial
140,2024,ALLSTATE INSURANCE COMPANY,9665,52 - Finance and Insurance,NORTHBROOK,IL,60062,1,0,14,0
141,2024,ALLWORTH FINANCIAL L P,2662,52 - Finance and Insurance,FOLSOM,CA,95630,0,0,1,0
142,2024,ALLY BANK,1796,52 - Finance and Insurance,DETROIT,MI,48226,13,0,41,0
143,2024,ALLY BANK,1796,52 - Finance and Insurance,DETROIT,MI,48266,0,0,1,0
144,2024,ALLY FINANCIAL INC,2512,52 - Finance and Insurance,DETROIT,MI,48226,1,0,5,0
145,2024,ALM FIRST ANALYTICS LLC,2018,52 - Finance and Insurance,DALLAS,TX,75219,2,0,0,0
146,2024,ALMA BANK,9230,52 - Finance and Insurance,LONG ISLAND CITY,NY,11101,1,0,0,0
147,2024,ALPHA FINANCIAL MARKETS CONSULTING INC,2447,52 - Finance and Insurance,NEW YORK,NY,10017,0,0,1,0
148,2024,ALPHA PARTNERS MANAGEMENT LLC,9436,52 - Finance and Insurance,NEW YORK,NY,10001,1,0,0,0
149,2024,ALPHA SQUARE GROUP S LLC,2031,52 - Finance and Insurance,NEW YORK,NY,10016,0,0,1,0
150,2024,ALPHADYNE ASSET MANAGEMENT LP,818,52 - Finance and Insurance,NEW YORK,NY,10004,0,0,2,0
151,2024,ALPHASIMPLEX GROUP LLC,8687,52 - Finance and Insurance,BOSTON,MA,2109,0,0,1,0
152,2024,ALPINE MANAGEMENT SERVICES III LLC,8581,52 - Finance and Insurance,SAN FRANCISCO,CA,94111,1,0,0,0
153,2024,ALPINE OPERATIONS GROUP LLC DBA AL,3880,52 - Finance and Insurance,SAN FRANCISCO,CA,94111,2,0,1,0
154,2024,"ALS GROUP, LLC",7466,52 - Finance and Insurance,WOODBRIDGE,NJ,7095,1,0,0,0
155,2024,ALT PLATFORM INC,863,52 - Finance and Insurance,SAN FRANCISCO,CA,94114,1,0,1,0
156,2024,ALTA PARK CAPITAL LP,9488,52 - Finance and Insurance,SAN FRANCISCO,CA,94129,0,0,1,0
157,2024,ALTER DOMUS INC,4877,52 - Finance and Insurance,CHICAGO,IL,60606,0,0,2,0
158,2024,ALTOP ENERGY LLC,9817,52 - Finance and Insurance,HOUSTON,TX,77002,0,0,2,0
159,2024,ALTRUIST CORPORATION D B A ALTRUIS,6435,52 - Finance and Insurance,CULVER CITY,CA,90232,0,0,1,0
160,2024,ALUA CAPITAL MANAGEMENT LP,753,52 - Finance and Insurance,NEW YORK,NY,10022,1,0,0,0
161,2024,AMA INSURANCE AGENCY INC,5962,52 - Finance and Insurance,CHICAGO,IL,60611,0,0,1,0
162,2024,AMALGAMATED BANK,330,52 - Finance and Insurance,NEW YORK,NY,10001,0,0,1,0
163,2024,AMALGAMATED TOKEN SERVICES INC DBA COINLIST,1196,52 - Finance and Insurance,SAN FRANCISCO,CA,94133,1,0,0,0
164,2024,AMARANTH GROUP INC,3776,52 - Finance and Insurance,DELRAY BEACH,FL,33445,0,0,1,0
165,2024,AMERANT BANK N A,6933,52 - Finance and Insurance,CORAL GABLES,FL,33134,1,0,0,0
